timestamp,open,high,low,close,volume,SMA_50,SMA_200,VWAP,ATR,BB_middle,BB_upper,BB_lower,RSI,EMA_12,EMA_26,MACD,MACD_signal
2024-08-11,60923.71,61878.81,58293.1,58726.67,28202.702765,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-12,58726.67,60710.73,57655.11,59349.13,27839.413569,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-13,59349.13,61580.75,58400.4,60582.31,29862.524312,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-14,60582.31,61850.0,58433.32,58685.49,32947.538838,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-15,58685.49,59856.38,56089.73,57539.07,32362.575698,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-16,57539.07,59826.56,57096.07,58879.89,27341.740089,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-17,58879.89,59716.92,58795.12,59498.11,22733.116628,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-18,59498.11,60282.67,58419.36,58434.57,21951.936645,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-19,58434.57,59613.17,57793.59,59439.59,26188.860492,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-20,59439.59,61425.0,58510.0,59007.92,25494.475747,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-21,59007.92,61829.56,58776.44,61152.67,25831.176681,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-22,61152.67,61417.81,59700.0,60388.68,23357.894027,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-23,60388.68,65000.0,60338.34,64046.3,26153.535146,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-24,64046.3,64500.0,63543.28,64153.5,19546.945175,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-25,64153.5,65032.12,63780.0,64218.1,18111.952814,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-26,64218.1,64479.22,62796.41,62834.75,26594.582272,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-27,62834.75,63213.07,57955.58,59411.08,33807.337927,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-28,59411.08,60257.77,57801.54,59044.69,23996.944745,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-29,59044.69,61175.07,58703.08,59348.57,18827.563337,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-30,59348.57,59944.16,57700.0,59130.23,19456.016647,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-08-31,59130.23,59463.0,58736.42,58972.48,7176.997611,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
2024-09-01,58972.48,59080.67,57162.76,57293.29,16960.761333,98288.2796,81745.8741,83424.24357345505,3119.5171428571443,95410.51100000001,102158.15090800404,88662.87109199598,19.08631227190783,93262.17029296854,95631.40882612702,-2369.238533158481,-1332.1287763604057
